abbr,id,fips,name,collection_date,sum_adm_all_covid_confirmed,pct_chg_avg_adm_all_covid_confirmed_per_100k,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,avg_percent_inpatient_beds_occupied_covid_confirmed,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid,mmwrweek_end,change,change_text,burden,burden_text,covid_pct_of_total_weekly,covid_deaths_3_month_period,aa_covid_rate_3_month_period,data_as_of,covid_deaths_total,aa_covid_rate_total,data_period_end,mmwrweek_end_testing,level,perc_diff,percent_pos,percent_pos_2_week,percent_pos_4_week,number_tested,number_tested_2_week,number_tested_4_week,pct_change_wk_weekly,pct_diff_wk_weekly,data_update_dte
IL,17,17,Illinois,2023-12-30,243644,11.9,1565,12.35,4.7,0.6,3.8,0.2,2023-12-30,4.0%,Stable (-9.9% to 9.9%),4.0%,Moderate (3.0% to 4.4%),3.5,666,4.4,2024-01-05,41233,268.3,2023-12-30,2023-12-30,Region 5,0.2,15.1,14.9,14.8,20380,83229,156014,-2.8,-0.1,2024-01-08 15:08:00
IN,18,18,Indiana,2023-12-30,146727,16.1,936,13.9,4.2,0.5,2.9,-0.2,2023-12-30,1.3%,Stable (-9.9% to 9.9%),3.9%,Moderate (3.0% to 4.4%),0,443,5.7,2024-01-05,26578,334.9,2023-12-30,2023-12-30,Region 5,0.2,15.1,14.9,14.8,20380,83229,156014,-100,-5.6,2024-01-08 15:08:00
KS,20,20,Kansas,2023-12-30,60261,12.1,306,10.5,2.8,0.1,2.9,0.3,2023-12-30,7.2%,Stable (-9.9% to 9.9%),3.2%,Moderate (3.0% to 4.4%),4.4,175,4.9,2024-01-05,10821,306.4,2023-12-30,2023-12-30,Region 7,-0.6,17.8,18.3,17.7,6989,21567,41481,22.2,0.8,2024-01-08 15:08:00
KY,21,21,Kentucky,2023-12-30,161534,8.6,567,12.69,4.1,0.5,4.1,0.7,2023-12-30,6.8%,Stable (-9.9% to 9.9%),3.5%,Moderate (3.0% to 4.4%),NA,349,6.6,2024-01-05,20536,382.4,2023-12-30,2023-12-30,Region 4,1,8.9,7.7,7.5,11222,20658,40510,NA,NA,2024-01-08 15:08:00
LA,22,22,Louisiana,2023-12-30,99084,18.3,362,7.79,2.3,0.4,1.6,0,2023-12-30,13.4%,Moderate Increase (10.0% to 19.9%),2.4%,Low (1.5% to 2.9%),NA,122,2.3,2024-01-05,17928,335.2,2023-12-30,2023-12-30,Region 6,-0.3,8.5,8.6,8.7,11119,24480,58901,NA,NA,2024-01-08 15:08:00
MA,25,25,Massachusetts,2023-12-30,112808,28.9,1096,15.9,5,0.9,4.2,0.8,2023-12-30,6.9%,Stable (-9.9% to 9.9%),3.5%,Moderate (3.0% to 4.4%),6.2,413,4.7,2024-01-05,21551,242.2,2023-12-30,2023-12-30,Region 1,1.1,14.4,12,11.4,5784,14842,29179,87.9,2.9,2024-01-08 15:08:00
MD,24,24,Maryland,2023-12-30,101423,24.4,550,9.1,5.4,0.9,3.8,0.8,2023-12-30,20.1%,Substantial Increase (> 19.9%),3.5%,Moderate (3.0% to 4.4%),4.2,386,5.4,2024-01-05,18639,255.2,2023-12-30,2023-12-30,Region 3,1.1,13.3,11,10.7,6475,12155,23390,13.5,0.5,2024-01-08 15:08:00
ME,23,23,Maine,2023-12-30,16271,21,127,9.45,6.3,0.9,5.6,0.4,2023-12-30,-8.3%,Stable (-9.9% to 9.9%),3.0%,Moderate (3.0% to 4.4%),5.4,139,7.1,2024-01-05,3459,173,2023-12-30,2023-12-30,Region 1,1.1,14.4,12,11.4,5784,14842,29179,-19.4,-1.3,2024-01-08 15:08:00
MI,26,26,Michigan,2023-12-30,203971,19,1322,13.24,5.4,0.9,4.4,0.7,2023-12-30,11.9%,Moderate Increase (10.0% to 19.9%),4.4%,Moderate (3.0% to 4.4%),3.9,638,5.1,2024-01-05,38571,303.2,2023-12-30,2023-12-30,Region 5,0.2,15.1,14.9,14.8,20380,83229,156014,-4.9,-0.2,2024-01-08 15:08:00
MN,27,27,Minnesota,2023-12-30,84410,12.6,597,10.59,5.2,0.5,3.9,0.5,NA,NA,NA,NA,NA,5.4,431,6.2,2024-01-05,16079,232.5,2023-12-30,2023-12-30,Region 5,0.2,15.1,14.9,14.8,20380,83229,156014,-3.6,-0.2,2024-01-08 15:08:00
MO,29,29,Missouri,2023-12-30,138395,4.3,796,12.97,5,0.3,4.4,0.7,NA,NA,NA,NA,NA,6.6,415,5.4,2024-01-05,23040,297.1,2023-12-30,2023-12-30,Region 7,-0.6,17.8,18.3,17.7,6989,21567,41481,65,2.6,2024-01-08 15:08:00
MP,69,69,Northern Mariana Islands,2023-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-01-08 15:08:00
MS,28,28,Mississippi,2023-12-30,57558,29.7,192,6.45,2,0.6,2.3,-0.3,2023-12-30,9.0%,Stable (-9.9% to 9.9%),2.7%,Low (1.5% to 2.9%),NA,186,5.6,2024-01-05,15142,437.3,2023-12-30,2023-12-30,Region 4,1,8.9,7.7,7.5,11222,20658,40510,NA,NA,2024-01-08 15:08:00
MT,30,30,Montana,2023-12-30,31586,-6.7,97,9.08,2.1,0,2.2,0.8,2023-12-30,-15.3%,Moderate Decrease (-19.9% to -10.0%),2.2%,Low (1.5% to 2.9%),0,73,5.1,2024-01-05,3968,275.4,2023-12-30,2023-12-30,Region 8,0.7,9.9,10,10.9,4446,10516,19943,NA,NA,2024-01-08 15:08:00
NC,37,37,North Carolina,2023-12-30,176570,30.8,904,8.62,4.3,0.8,4.4,1,2023-12-30,18.7%,Moderate Increase (10.0% to 19.9%),3.2%,Moderate (3.0% to 4.4%),2.3,555,4.6,2024-01-05,34750,277.7,2023-12-30,2023-12-30,Region 4,1,8.9,7.7,7.5,11222,20658,40510,-11.5,-0.3,2024-01-08 15:08:00
ND,38,38,North Dakota,2023-12-30,16026,28.9,98,12.86,3.7,0.4,1.8,-0.3,2023-12-30,-27.5%,Substantial Decrease (< -19.9%),2.1%,Low (1.5% to 2.9%),NA,42,4.4,2024-01-05,2694,288.8,2023-12-30,2023-12-30,Region 8,0.7,9.9,10,10.9,4446,10516,19943,NA,NA,2024-01-08 15:08:00
NE,31,31,Nebraska,2023-12-30,33822,-10.3,226,11.68,4.1,0.5,4,0.6,2023-12-30,-4.2%,Stable (-9.9% to 9.9%),2.9%,Low (1.5% to 2.9%),NA,100,4.4,2024-01-05,5896,253.3,2023-12-30,2023-12-30,Region 7,-0.6,17.8,18.3,17.7,6989,21567,41481,NA,NA,2024-01-08 15:08:00
NH,33,33,New Hampshire,2023-12-30,19548,-6.1,123,9.05,3.9,0.3,2.9,-2.2,2023-12-30,5.4%,Stable (-9.9% to 9.9%),3.4%,Moderate (3.0% to 4.4%),NA,83,4.6,2024-01-05,3406,185.4,2023-12-30,2023-12-30,Region 1,1.1,14.4,12,11.4,5784,14842,29179,NA,NA,2024-01-08 15:08:00
NJ,34,34,New Jersey,2023-12-30,182354,40.4,1318,14.84,5,1,3.2,0.6,2023-12-30,19.6%,Moderate Increase (10.0% to 19.9%),3.8%,Moderate (3.0% to 4.4%),6.3,418,3.6,2024-01-05,35932,307.2,2023-12-30,2023-12-30,Region 2,2.2,14.1,11.4,10.2,6625,12032,22410,65.8,2.5,2024-01-08 15:08:00
NM,35,35,New Mexico,2023-12-30,40410,-9.6,122,5.82,2.2,-0.4,2.2,-0.5,2023-12-30,-13.9%,Moderate Decrease (-19.9% to -10.0%),2.2%,Low (1.5% to 2.9%),NA,128,4.9,2024-01-05,9520,368,2023-12-30,2023-12-30,Region 6,-0.3,8.5,8.6,8.7,11119,24480,58901,NA,NA,2024-01-08 15:08:00
NV,32,32,Nevada,2023-12-30,66738,6.3,252,8.18,3.4,0.4,4.1,0.4,2023-12-30,-6.8%,Stable (-9.9% to 9.9%),1.8%,Low (1.5% to 2.9%),0,106,3.2,2024-01-05,12096,337.4,2023-12-30,2023-12-30,Region 9,-2.5,8,10.7,10.1,2643,11528,22341,NA,NA,2024-01-08 15:08:00
NY,36,36,New York,2023-12-30,401313,30.2,3099,15.93,5.8,1,4.5,0.7,2023-12-30,26.1%,Substantial Increase (> 19.9%),3.3%,Moderate (3.0% to 4.4%),3.9,1081,4.2,2024-01-05,82731,319.9,2023-12-30,2023-12-30,Region 2,2.2,14.1,11.4,10.2,6625,12032,22410,14.7,0.5,2024-01-08 15:08:00
NY-NYC,71,71,New York (excludes NYC),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,789,5.1,2024-01-05,42944,278.5,2023-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.6,1.3,2024-01-08 15:08:00
NYC,57,57,New York City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,292,2.8,2024-01-05,39787,381.7,2023-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.3,-1,2024-01-08 15:08:00
OH,39,39,Ohio,2023-12-30,275302,21.5,1776,15.19,3.8,0.6,3.7,0.6,2023-12-30,10.6%,Moderate Increase (10.0% to 19.9%),4.1%,Moderate (3.0% to 4.4%),3.9,734,5,2024-01-05,50807,341.5,2023-12-30,2023-12-30,Region 5,0.2,15.1,14.9,14.8,20380,83229,156014,8.3,0.3,2024-01-08 15:08:00
OK,40,40,Oklahoma,2023-12-30,113886,11.6,415,10.49,4.6,0.5,5,-0.1,NA,NA,NA,NA,NA,5.6,261,5.8,2024-01-05,19920,434.6,2023-12-30,2023-12-30,Region 6,-0.3,8.5,8.6,8.7,11119,24480,58901,33.3,1.4,2024-01-08 15:08:00
OR,41,41,Oregon,2023-12-30,49957,44.9,287,6.8,3.2,0.6,1.9,0.4,2023-12-30,33.8%,Substantial Increase (> 19.9%),2.7%,Low (1.5% to 2.9%),NA,224,4.3,2024-01-05,9638,183.4,2023-12-30,2023-12-30,Region 10,2,10.3,7.9,8.1,8340,19324,39931,NA,NA,2024-01-08 15:08:00
PA,42,42,Pennsylvania,2023-12-30,259248,39.7,1738,13.58,4.6,1.2,4.1,0.9,2023-12-30,14.4%,Moderate Increase (10.0% to 19.9%),3.4%,Moderate (3.0% to 4.4%),3.7,958,5.3,2024-01-05,53977,302.3,2023-12-30,2023-12-30,Region 3,1.1,13.3,11,10.7,6475,12155,23390,0,0,2024-01-08 15:08:00
PR,72,72,Puerto Rico,2023-12-30,30231,-3.5,109,3.41,0.9,0,1.3,0.1,NA,NA,NA,NA,NA,NA,111,1.9,2024-01-05,6584,124.8,2023-12-30,2023-12-30,Region 2,2.2,14.1,11.4,10.2,6625,12032,22410,NA,NA,2024-01-08 15:08:00
PW,70,70,Palau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-01-08 15:08:00
RI,44,44,Rhode Island,2023-12-30,14113,13.3,111,10.48,5.5,0.7,4,-0.6,2023-12-30,-10.4%,Moderate Decrease (-19.9% to -10.0%),2.4%,Low (1.5% to 2.9%),NA,46,3.2,2024-01-05,4056,274.1,2023-12-30,2023-12-30,Region 1,1.1,14.4,12,11.4,5784,14842,29179,NA,NA,2024-01-08 15:08:00
RMI,68,68,Republic of Marshall Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-01-08 15:08:00
SC,45,45,South Carolina,2023-12-30,99363,24.4,479,9.3,3.5,0.8,2.7,0.4,2023-12-30,1.3%,Stable (-9.9% to 9.9%),2.5%,Low (1.5% to 2.9%),2.7,251,4,2024-01-05,21697,335.2,2023-12-30,2023-12-30,Region 4,1,8.9,7.7,7.5,11222,20658,40510,-15.6,-0.5,2024-01-08 15:08:00
SD,46,46,South Dakota,2023-12-30,20580,4.8,132,14.92,4,0.3,3.5,-0.8,2023-12-30,-31.7%,Substantial Decrease (< -19.9%),2.2%,Low (1.5% to 2.9%),0,43,3.9,2024-01-05,3343,305.5,2023-12-30,2023-12-30,Region 8,0.7,9.9,10,10.9,4446,10516,19943,NA,0,2024-01-08 15:08:00
TN,47,47,Tennessee,2023-12-30,136466,38.7,713,10.44,2.9,0.5,2.3,0.5,2023-12-30,1.5%,Stable (-9.9% to 9.9%),2.4%,Low (1.5% to 2.9%),2.2,390,4.8,2024-01-05,29312,353.5,2023-12-30,2023-12-30,Region 4,1,8.9,7.7,7.5,11222,20658,40510,-29,-0.9,2024-01-08 15:08:00
TX,48,48,Texas,2023-12-30,630304,17.5,2084,7.19,2.8,0.2,3.4,0.5,2023-12-30,4.6%,Stable (-9.9% to 9.9%),2.3%,Low (1.5% to 2.9%),3.2,723,2.7,2024-01-05,103593,360.4,2023-12-30,2023-12-30,Region 6,-0.3,8.5,8.6,8.7,11119,24480,58901,33.3,0.8,2024-01-08 15:08:00
USA,0,00,United States of America,2023-12-30,6657219,20.4,34798,10.48,3.9,0.6,3.4,0.5,2023-12-30,12.8%,Moderate Increase (10.0% to 19.9%),3.0%,Moderate (3.0% to 4.4%),3.6,15994,4,2024-01-05,1165118,291.7,2023-12-30,2023-12-30,National,-0.1,12.4,12.3,12,84023,230331,454100,12.5,0.4,2024-01-08 15:08:00
UT,49,49,Utah,2023-12-30,49679,20.3,237,7.39,2.4,0.2,2.8,0.1,2023-12-30,8.4%,Stable (-9.9% to 9.9%),3.4%,Moderate (3.0% to 4.4%),NA,99,3.8,2024-01-05,5655,202.4,2023-12-30,2023-12-30,Region 8,0.7,9.9,10,10.9,4446,10516,19943,NA,NA,2024-01-08 15:08:00
VA,51,51,Virginia,2023-12-30,129996,28.4,1014,11.88,4.4,0.7,4.2,0.7,2023-12-30,17.7%,Moderate Increase (10.0% to 19.9%),4.5%,Substantial (4.5% to 5.9%),4.7,467,4.7,2024-01-05,24257,241.7,2023-12-30,2023-12-30,Region 3,1.1,13.3,11,10.7,6475,12155,23390,17.5,0.7,2024-01-08 15:08:00
VI,78,78,Virgin Islands,2023-12-30,625,0,2,1.88,1.3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-30,2023-12-30,Region 2,2.2,14.1,11.4,10.2,6625,12032,22410,NA,NA,2024-01-08 15:08:00
VT,50,50,Vermont,2023-12-30,6937,3.7,56,8.97,3.2,0.1,4.1,1.5,2023-12-30,2.7%,Stable (-9.9% to 9.9%),2.9%,Low (1.5% to 2.9%),NA,52,5.9,2024-01-05,1097,125.8,2023-12-30,2023-12-30,Region 1,1.1,14.4,12,11.4,5784,14842,29179,NA,NA,2024-01-08 15:08:00
WA,53,53,Washington,2023-12-30,81608,16.3,356,4.68,3.3,0.6,2.5,0.5,2023-12-30,13.5%,Moderate Increase (10.0% to 19.9%),2.4%,Low (1.5% to 2.9%),NA,288,3.4,2024-01-05,15522,179,2023-12-30,2023-12-30,Region 10,2,10.3,7.9,8.1,8340,19324,39931,NA,NA,2024-01-08 15:08:00
WI,55,55,Wisconsin,2023-12-30,133437,21.7,757,13,4.6,0.2,3.8,0.4,2023-12-30,7.4%,Stable (-9.9% to 9.9%),3.9%,Moderate (3.0% to 4.4%),4.1,324,4.4,2024-01-05,17571,237.4,2023-12-30,2023-12-30,Region 5,0.2,15.1,14.9,14.8,20380,83229,156014,24.2,0.8,2024-01-08 15:08:00
WV,54,54,West Virginia,2023-12-30,45759,17.5,343,19.14,6.5,1.2,6,-0.4,2023-12-30,-5.8%,Stable (-9.9% to 9.9%),4.6%,Substantial (4.5% to 5.9%),NA,167,6.6,2024-01-05,8886,357.2,2023-12-30,2023-12-30,Region 3,1.1,13.3,11,10.7,6475,12155,23390,NA,NA,2024-01-08 15:08:00
WY,56,56,Wyoming,2023-12-30,11963,36.8,52,8.98,1.8,0.7,1.2,0.6,2023-12-30,27.7%,Substantial Increase (> 19.9%),4.0%,Moderate (3.0% to 4.4%),NA,46,6.8,2024-01-05,2202,312.9,2023-12-30,2023-12-30,Region 8,0.7,9.9,10,10.9,4446,10516,19943,NA,NA,2024-01-08 15:08:00
AK,2,02,Alaska,2023-12-23,10084,-4.8,20,2.73,1.2,0.1,1.2,0.4,2023-12-23,34.5%,Substantial Increase (> 19.9%),2.0%,Low (1.5% to 2.9%),NA,16,NA,2023-12-28,1549,232.5,2023-12-23,2023-12-23,Region 10,1.2,8.7,7.9,7.9,8044,20453,39728,NA,NA,2023-12-29 10:08:00
AL,1,01,Alabama,2023-12-23,123290,13.1,440,8.97,2.7,0.4,3.6,0.9,2023-12-23,-4.1%,Stable (-9.9% to 9.9%),1.9%,Low (1.5% to 2.9%),NA,185,3,2023-12-28,22687,364.4,2023-12-23,2023-12-23,Region 4,1.1,8.6,7.6,7.4,6124,21237,39367,NA,NA,2023-12-29 10:08:00
AR,5,05,Arkansas,2023-12-23,70172,17.3,305,10.11,2.5,0.2,2.6,0.5,2023-12-23,-4.9%,Stable (-9.9% to 9.9%),2.0%,Low (1.5% to 2.9%),NA,125,3.2,2023-12-28,12752,343.4,2023-12-23,2023-12-23,Region 6,-0.1,8.4,8.5,8.7,9374,28519,59715,NA,NA,2023-12-29 10:08:00
AS,60,60,American Samoa,2023-12-23,225,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-29 10:08:00
AZ,4,04,Arizona,2023-12-23,159878,8.2,502,6.9,2.6,0.1,2.5,-0.2,2023-12-23,5.2%,Stable (-9.9% to 9.9%),2.4%,Low (1.5% to 2.9%),NA,355,3.8,2023-12-28,30151,329.6,2023-12-23,2023-12-23,Region 9,-4.4,6.5,10.2,9.8,2428,11155,20702,NA,NA,2023-12-29 10:08:00
CA,6,06,California,2023-12-23,642484,14.1,3279,8.3,3.7,0.5,2.7,0.5,2023-12-23,15.3%,Moderate Increase (10.0% to 19.9%),2.0%,Low (1.5% to 2.9%),3.4,1174,2.7,2023-12-28,110775,250,2023-12-23,2023-12-23,Region 9,-4.4,6.5,10.2,9.8,2428,11155,20702,30.8,0.8,2023-12-29 10:08:00
CO,8,08,Colorado,2023-12-23,103042,2,410,7.12,2.2,-0.4,2.1,-0.5,2023-12-23,-3.2%,Stable (-9.9% to 9.9%),1.9%,Low (1.5% to 2.9%),NA,336,5.9,2023-12-28,15373,254,2023-12-23,2023-12-23,Region 8,-0.9,9,10.1,11.2,5295,9544,18757,NA,NA,2023-12-29 10:08:00
CT,9,09,Connecticut,2023-12-23,68659,6.5,359,10.07,3.8,0.3,2.8,0.2,2023-12-23,19.3%,Moderate Increase (10.0% to 19.9%),3.6%,Moderate (3.0% to 4.4%),2.2,215,4.4,2023-12-28,12583,257.8,2023-12-23,2023-12-23,Region 1,4.1,14.5,10.6,10.5,5303,14394,27405,-51.1,-2.3,2023-12-29 10:08:00
DC,11,11,District of Columbia,2023-12-23,17205,56.3,75,10.63,2.9,0.6,1.8,0.3,2023-12-23,11.4%,Moderate Increase (10.0% to 19.9%),1.9%,Low (1.5% to 2.9%),0,24,3.6,2023-12-28,1910,287.1,2023-12-23,2023-12-23,Region 3,0,9.6,10,10,3180,10801,20930,NA,0,2023-12-29 10:08:00
DE,10,10,Delaware,2023-12-23,20997,61.9,102,10.47,4.2,0.6,3.6,0.7,2023-12-23,30.3%,Substantial Increase (> 19.9%),3.1%,Moderate (3.0% to 4.4%),0,53,4.1,2023-12-28,3538,264.9,2023-12-23,2023-12-23,Region 3,0,9.6,10,10,3180,10801,20930,NA,NA,2023-12-29 10:08:00
FL,12,12,Florida,2023-12-23,587150,21.8,1391,6.48,1.7,0.3,1.9,0.5,2023-12-23,10.8%,Moderate Increase (10.0% to 19.9%),1.7%,Low (1.5% to 2.9%),1.2,809,2.4,2023-12-28,81493,253.5,2023-12-23,2023-12-23,Region 4,1.1,8.6,7.6,7.4,6124,21237,39367,-25,-0.4,2023-12-29 10:08:00
FSM,64,64,Federated States of Micronesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-29 10:08:00
GA,13,13,Georgia,2023-12-23,245553,6.1,501,4.72,2.6,0.5,3.2,0.6,2023-12-23,49.9%,Substantial Increase (> 19.9%),1.7%,Low (1.5% to 2.9%),0,264,2.4,2023-12-28,36686,321.3,2023-12-23,2023-12-23,Region 4,1.1,8.6,7.6,7.4,6124,21237,39367,NA,NA,2023-12-29 10:08:00
GU,66,66,Guam,2023-12-23,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-23,110.2%,Substantial Increase (> 19.9%),1.0%,Minimal (< 1.5%),NA,NA,NA,NA,NA,NA,2023-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-29 10:08:00
HI,15,15,Hawaii,2023-12-23,20962,18.9,88,6.22,1.8,0.1,1.4,0.7,2023-12-23,35.3%,Substantial Increase (> 19.9%),1.7%,Low (1.5% to 2.9%),0,39,1.7,2023-12-28,2037,101.8,2023-12-23,2023-12-23,Region 9,-4.4,6.5,10.2,9.8,2428,11155,20702,NA,NA,2023-12-29 10:08:00
IA,19,19,Iowa,2023-12-23,57379,-22.8,304,9.64,3.7,-0.1,3.9,0.8,2023-12-23,-3.0%,Stable (-9.9% to 9.9%),4.6%,Substantial (4.5% to 5.9%),4.8,201,4.9,2023-12-28,11365,275.3,2023-12-23,2023-12-23,Region 7,0.1,18.3,17.7,17.3,10157,20995,36752,14.3,0.6,2023-12-29 10:08:00
ID,16,16,Idaho,2023-12-23,29436,-9.3,147,8.23,3.1,0,2.3,0,2023-12-23,4.9%,Stable (-9.9% to 9.9%),2.6%,Low (1.5% to 2.9%),NA,86,4.1,2023-12-28,5627,266.7,2023-12-23,2023-12-23,Region 10,1.2,8.7,7.9,7.9,8044,20453,39728,NA,NA,2023-12-29 10:08:00
IL,17,17,Illinois,2023-12-23,242027,7.7,1381,10.9,4.1,0.2,3.6,0.1,2023-12-23,9.0%,Stable (-9.9% to 9.9%),3.6%,Moderate (3.0% to 4.4%),4.1,614,4,2023-12-28,41144,267.7,2023-12-23,2023-12-23,Region 5,-0.1,14.8,14.7,14.7,30599,74804,133638,28.1,0.9,2023-12-29 10:08:00
IN,18,18,Indiana,2023-12-23,145860,20,875,13,3.7,0.2,3.1,0.2,2023-12-23,3.5%,Stable (-9.9% to 9.9%),3.6%,Moderate (3.0% to 4.4%),NA,434,5.5,2023-12-28,26531,334.3,2023-12-23,2023-12-23,Region 5,-0.1,14.8,14.7,14.7,30599,74804,133638,NA,NA,2023-12-29 10:08:00
KS,20,20,Kansas,2023-12-23,59940,-3.9,269,9.23,2.6,0.2,2.6,-0.9,2023-12-23,4.1%,Stable (-9.9% to 9.9%),2.9%,Low (1.5% to 2.9%),NA,156,4.4,2023-12-28,10795,305.7,2023-12-23,2023-12-23,Region 7,0.1,18.3,17.7,17.3,10157,20995,36752,NA,NA,2023-12-29 10:08:00
KY,21,21,Kentucky,2023-12-23,160967,15.5,522,11.68,3.6,0.2,3.4,-0.1,2023-12-23,2.1%,Stable (-9.9% to 9.9%),3.0%,Moderate (3.0% to 4.4%),NA,347,6.5,2023-12-28,20506,381.9,2023-12-23,2023-12-23,Region 4,1.1,8.6,7.6,7.4,6124,21237,39367,NA,NA,2023-12-29 10:08:00
LA,22,22,Louisiana,2023-12-23,98720,48,293,6.3,1.8,0.3,1.6,0.4,2023-12-23,25.7%,Substantial Increase (> 19.9%),1.9%,Low (1.5% to 2.9%),0,111,2.1,2023-12-28,17905,334.8,2023-12-23,2023-12-23,Region 6,-0.1,8.4,8.5,8.7,9374,28519,59715,NA,NA,2023-12-29 10:08:00
MA,25,25,Massachusetts,2023-12-23,111766,35.7,904,13.12,4,0.8,3.4,0.1,2023-12-23,8.5%,Stable (-9.9% to 9.9%),3.0%,Moderate (3.0% to 4.4%),6.1,372,4.2,2023-12-28,21477,241.3,2023-12-23,2023-12-23,Region 1,4.1,14.5,10.6,10.5,5303,14394,27405,79.4,2.7,2023-12-29 10:08:00
MD,24,24,Maryland,2023-12-23,100882,1.3,451,7.46,4.5,0.2,3.1,-0.3,2023-12-23,36.0%,Substantial Increase (> 19.9%),2.8%,Low (1.5% to 2.9%),3.3,366,5.1,2023-12-28,18595,254.6,2023-12-23,2023-12-23,Region 3,0,9.6,10,10,3180,10801,20930,-13.2,-0.5,2023-12-29 10:08:00
ME,23,23,Maine,2023-12-23,16142,4,103,7.66,5.4,0.7,5.3,0.9,2023-12-23,-12.0%,Moderate Decrease (-19.9% to -10.0%),2.7%,Low (1.5% to 2.9%),6.3,127,6.5,2023-12-28,3437,171.8,2023-12-23,2023-12-23,Region 1,4.1,14.5,10.6,10.5,5303,14394,27405,16.7,0.9,2023-12-29 10:08:00
MI,26,26,Michigan,2023-12-23,202612,16.6,1110,11.11,4.6,0.2,3.7,-0.1,2023-12-23,4.3%,Stable (-9.9% to 9.9%),3.8%,Moderate (3.0% to 4.4%),4.3,588,4.7,2023-12-28,38485,302.5,2023-12-23,2023-12-23,Region 5,-0.1,14.8,14.7,14.7,30599,74804,133638,-8.5,-0.4,2023-12-29 10:08:00
MN,27,27,Minnesota,2023-12-23,83819,6.8,536,9.5,4.7,0.2,3.4,0.4,NA,NA,NA,NA,NA,5.2,403,5.8,2023-12-28,16022,231.7,2023-12-23,2023-12-23,Region 5,-0.1,14.8,14.7,14.7,30599,74804,133638,6.1,0.3,2023-12-29 10:08:00
MO,29,29,Missouri,2023-12-23,137587,7.3,752,12.25,4.6,0.1,3.7,0.3,NA,NA,NA,NA,NA,2.6,377,4.9,2023-12-28,22975,296.3,2023-12-23,2023-12-23,Region 7,0.1,18.3,17.7,17.3,10157,20995,36752,-36.6,-1.5,2023-12-29 10:08:00
MP,69,69,Northern Mariana Islands,2023-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-29 10:08:00
MS,28,28,Mississippi,2023-12-23,57383,31,165,5.54,1.5,0.3,2.7,1.3,2023-12-23,9.3%,Stable (-9.9% to 9.9%),2.3%,Low (1.5% to 2.9%),4.5,191,5.7,2023-12-28,15118,436.6,2023-12-23,2023-12-23,Region 4,1.1,8.6,7.6,7.4,6124,21237,39367,NA,NA,2023-12-29 10:08:00
MT,30,30,Montana,2023-12-23,31504,15.2,121,11.32,2.2,-0.1,1.5,-1.2,2023-12-23,-21.6%,Substantial Decrease (< -19.9%),2.2%,Low (1.5% to 2.9%),0,75,5.2,2023-12-28,3963,275,2023-12-23,2023-12-23,Region 8,-0.9,9,10.1,11.2,5295,9544,18757,NA,NA,2023-12-29 10:08:00
NC,37,37,North Carolina,2023-12-23,175676,27.7,701,6.68,3.4,0.5,3.4,0.2,2023-12-23,14.1%,Moderate Increase (10.0% to 19.9%),2.5%,Low (1.5% to 2.9%),3.4,579,4.8,2023-12-28,34715,277.4,2023-12-23,2023-12-23,Region 4,1.1,8.6,7.6,7.4,6124,21237,39367,21.4,0.6,2023-12-29 10:08:00
